City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,hithadhoo,-0.6,73.0833,28.6,76,78,3.33,MV,1715328742
159,tiksi,71.6872,128.8694,-1.24,90,100,3.33,RU,1715328743
160,kapa'a,22.0752,-159.319,23.18,86,75,5.14,US,1715328743
161,krasnyy chikoy,50.3643,108.7512,6.58,68,91,9.17,RU,1715328744
162,westport,41.1415,-73.3579,10.99,84,100,6.69,US,1715328745
163,margate,51.3813,1.3862,16.84,71,97,0.45,GB,1715328746
164,clorinda,-25.2848,-57.7185,20.09,88,100,0.5,AR,1715328747
165,nova sintra,14.8667,-24.7167,20.54,74,17,9.48,CV,1715328748
166,fenghua,29.6563,121.4064,22.22,61,100,4.17,CN,1715328749
167,peniche,39.3558,-9.3811,17.27,97,81,2.02,PT,1715328749
168,codrington,-38.2667,141.9667,14.13,90,61,2.23,AU,1715328750
169,kampong thom,12.7111,104.8887,38.72,31,76,1.98,KH,1715328751
170,tezu,27.9167,96.1667,31.55,38,100,1.9,IN,1715328752
171,lukolela,-1.0605,17.1821,25.13,86,100,1.28,CD,1715328753
172,kayangel,8.0823,134.7173,28.86,75,90,3.02,PW,1715328754
173,kavaratti,10.5669,72.642,29.88,68,100,4.42,IN,1715328754
174,mejit,10.2753,170.8646,27.41,84,100,9.1,MH,1715328756
175,crane,31.3974,-102.3501,19.02,80,96,7.06,US,1715328756
176,korla,41.7597,86.1469,28.76,11,0,4.79,CN,1715328462
177,crossville,35.949,-85.0269,15.53,92,65,1.19,US,1715328758
178,mattighofen,48.1031,13.1503,16.86,89,98,0.89,AT,1715328759
179,thompson,55.7435,-97.8558,7.09,93,75,2.57,CA,1715328759
180,minas de marcona,-15.2119,-75.1103,12.92,89,27,4.15,PE,1715328760
181,luganville,-15.5333,167.1667,23.88,72,62,4.12,VU,1715328761
182,gebeit,21.0667,36.3167,33.5,27,2,4.22,SD,1715328762
183,contamana,-7.3333,-75.0167,22.76,100,94,0.49,PE,1715328762
184,clodomira,-27.5744,-64.1311,10.95,61,100,2.24,AR,1715328763
185,afaahiti,-17.75,-149.2833,25.93,80,25,5.39,PF,1715328764
186,ataq,14.5377,46.8319,31.19,26,36,0.7,YE,1715328765
187,ketchikan,55.3422,-131.6461,10.26,93,100,2.57,US,1715328766
188,pangody,65.85,74.4859,1.43,100,100,7.5,RU,1715328767
189,jibia,13.0978,7.2225,33.82,32,88,5.41,NG,1715328767
190,saynshand,44.8824,110.1163,14.01,14,100,14.46,MN,1715328768
191,aweil,8.7682,27.4002,35.43,34,31,2.45,SS,1715328769
192,bolnisi,41.4479,44.5384,15.77,71,100,2.09,GE,1715328770
193,udachny,66.4167,112.4,-4.75,76,100,4.74,RU,1715328771
194,quepos,9.4236,-84.1652,26.71,83,100,1.43,CR,1715328771
195,bubaque,11.2833,-15.8333,27.38,80,42,5.73,GW,1715328773
196,antsiranana,-12.2787,49.2917,29.69,58,0,8.1,MG,1715328775
197,tual,-5.6667,132.75,27.96,82,13,8.12,ID,1715328776
198,olney,39.1532,-77.0669,14.19,92,100,1.54,US,1715328777
199,el calafate,-50.3408,-72.2768,-0.17,88,87,1.72,AR,1715328778
200,santo antonio do ica,-3.1022,-67.9397,23.26,97,61,0.56,BR,1715328778
201,smirnykh,49.75,142.8333,11.44,37,31,4.68,RU,1715328779
202,qamdo,31.1667,97.2333,5.41,57,100,3.99,CN,1715328781
203,kijang,35.2442,129.2139,19.67,52,4,6.93,KR,1715328658
204,nova xavantina,-14.6667,-52.35,18.76,75,1,0.99,BR,1715328782
205,hamilton,39.1834,-84.5333,11.97,93,100,5.66,US,1715328570
206,chibougamau,49.9168,-74.3659,-0.21,93,0,2.06,CA,1715328784
207,altinekin,38.3078,32.8686,20.31,25,82,2.94,TR,1715328785
208,kirov,58.5966,49.6601,-1.34,88,100,5.36,RU,1715328786
209,puerto baquerizo moreno,-0.9,-89.6,22.95,87,100,2.2,EC,1715328786
210,piton saint-leu,-21.2196,55.3151,26.06,61,0,13.89,RE,1715328787
211,salinopolis,-0.6136,-47.3561,26.37,88,99,4.41,BR,1715328788
212,kerikeri,-35.2268,173.9474,9.39,82,0,0.45,NZ,1715328632
213,lent'ekhi,42.7856,42.7261,18.57,54,79,2.24,GE,1715328790
214,hengchun,22.0042,120.7439,26.93,62,2,8.46,TW,1715328553
215,monroe,43.1501,-77.6831,10.33,86,100,2.06,US,1715328791
216,mantua,45.1667,10.7833,21.66,58,6,2.24,IT,1715328689
217,kapuskasing,49.4169,-82.4331,-0.95,93,0,1.03,CA,1715328793
218,fortuna,40.5982,-124.1573,11.48,100,0,5.14,US,1715328794
219,labytnangi,66.6572,66.4183,0.21,99,100,3.78,RU,1715328795
220,gadzhiyevo,69.2551,33.3362,-0.29,94,100,5.97,RU,1715328796
221,holualoa,19.6228,-155.9522,21.91,91,100,2.57,US,1715328797
222,razole,16.4833,81.8333,34.85,50,19,4.85,IN,1715328798
223,jayapura,-2.5333,140.7,23.66,93,100,3.12,ID,1715328246
224,zainsk,55.3195,52.0694,3.55,56,100,9.96,RU,1715328799
225,nadvoitsy,63.8667,34.3167,1.35,66,46,4.7,RU,1715328800
226,aasiaat,68.7098,-52.8699,-13.05,98,75,1.82,GL,1715328801
227,pierre,44.3683,-100.351,12.93,79,75,4.63,US,1715328802
228,riyadh,24.6877,46.7219,32.08,14,0,3.91,SA,1715328802
229,tura,25.5198,90.2201,32.17,37,38,3.63,IN,1715328600
230,smithfield,41.922,-71.5495,9.04,85,100,3.09,US,1715328804
231,besisahar,28.2313,84.3761,29.47,43,77,0.17,NP,1715328805
232,flying fish cove,-10.4217,105.6791,27.82,83,100,4.12,CX,1715328806
233,bay roberts,47.5999,-53.2648,2.96,95,98,0.45,CA,1715328807
234,pingliang,35.5392,106.6861,20.16,48,100,12.46,CN,1715328807
235,tossa de mar,41.7325,2.9338,21.59,33,0,2.6,ES,1715328808
236,miesbach,47.789,11.8338,15.84,62,100,1.78,DE,1715328809
237,sinabang,2.4803,96.3801,28.64,79,100,2.13,ID,1715328810
238,cobija,-11.0267,-68.7692,26.02,76,95,1.03,BO,1715328811
239,bullsbrook,-31.6667,116.0,27.03,50,0,8.75,AU,1715328811
240,san marcos,33.1434,-117.1661,14.9,89,0,0.45,US,1715328812
241,ravar,31.2656,56.8055,22.75,25,0,3.57,IR,1715328813
242,kuching,1.55,110.3333,31.12,79,40,2.68,MY,1715328722
243,kismayo,-0.3582,42.5454,28.96,72,84,5.86,SO,1715328815
244,jedrzejow,50.6394,20.3045,16.34,39,92,1.79,PL,1715328783
245,pariaman,-0.619,100.12,31.03,74,73,2.92,ID,1715328711
246,qionghai,19.2425,110.4642,30.21,66,94,4.84,CN,1715328817
247,wynyard,-41.0,145.7167,14.73,79,79,5.81,AU,1715328818
248,saint-philippe,-21.3585,55.7679,27.77,70,43,6.76,RE,1715328820
249,bodaybo,57.8506,114.1933,5.93,76,100,1.5,RU,1715328821
250,shingu,33.7333,135.9833,19.07,54,0,3.57,JP,1715328687
251,acopiara,-6.0953,-39.4525,22.47,92,100,2.0,BR,1715328822
252,taulaga,-11.0553,-171.0883,29.22,75,100,3.24,AS,1715328823
253,attapeu,14.8,106.8333,40.08,27,27,0.9,LA,1715328689
254,anloga,5.7947,0.8973,29.65,75,100,4.52,GH,1715328824
255,hammerfest,70.6634,23.6821,2.25,93,75,3.6,NO,1715328825
256,laojunmiao,39.8333,97.7333,16.81,23,98,3.93,CN,1715328826
257,barroso,-21.1869,-43.9758,15.53,93,2,1.71,BR,1715328826
258,muli,2.9167,73.5667,29.44,75,49,4.17,MV,1715328827
259,longyearbyen,78.2186,15.6401,0.91,64,75,7.72,SJ,1715328828
260,san patricio,28.017,-97.5169,27.69,94,5,2.51,US,1715328829
261,seguin,29.5688,-97.9647,24.42,87,100,5.14,US,1715328830
262,port alfred,-33.5906,26.891,18.43,97,78,0.45,ZA,1715328830
263,kargil,34.5667,76.1,12.07,29,4,2.53,IN,1715328831
264,san jose del cabo,23.0589,-109.6977,24.87,58,2,2.17,MX,1715328832
265,upington,-28.4478,21.2561,27.21,29,0,6.17,ZA,1715328833
266,tazovsky,67.4667,78.7,0.47,93,100,9.0,RU,1715328834
267,fedorovka,53.6314,62.7078,9.29,29,2,7.82,KZ,1715328835
268,gemena,3.25,19.7667,28.9,64,94,1.93,CD,1715328836
269,nemuro,43.3236,145.575,7.45,83,49,3.98,JP,1715328749
270,nogliki,51.8333,143.1667,4.08,96,98,3.58,RU,1715328838
271,luba,3.4568,8.5547,30.94,77,100,1.95,GQ,1715328839
272,happy valley-goose bay,53.3168,-60.3315,-1.83,86,20,3.6,CA,1715328840
273,trevelin,-43.0858,-71.4639,1.71,98,100,0.33,AR,1715328840
274,cajamarca,-7.1638,-78.5003,11.99,92,97,2.48,PE,1715328841
275,jingdezhen,29.2947,117.2079,25.84,76,100,1.17,CN,1715328842
276,buta,2.7858,24.73,28.44,65,97,0.41,CD,1715328843
277,aral,40.5156,81.2636,31.59,7,0,6.63,CN,1715328844
278,novokayakent,42.3937,47.9861,16.94,63,86,6.24,RU,1715328668
279,roxas,11.5853,122.7511,30.64,58,6,3.37,PH,1715328847
280,sayaxche,16.5167,-90.1667,25.37,86,92,0.16,GT,1715328848
281,saint-joseph,-21.3667,55.6167,27.21,66,19,7.0,RE,1715328848
282,maraba,-5.3686,-49.1178,26.1,94,20,1.54,BR,1715328849
283,marsa alam,25.0757,34.8918,31.51,23,44,2.69,EG,1715328850
284,staritsa,56.5075,34.9354,7.54,58,100,5.16,RU,1715328851
285,luanda,-8.8368,13.2343,28.0,83,100,1.03,AO,1715328673
286,tulun,54.5611,100.5792,14.9,33,91,0.25,RU,1715328853
287,singaraja,-8.112,115.0882,29.04,75,48,2.32,ID,1715328855
288,palu,-0.8917,119.8707,30.02,76,83,1.29,ID,1715328711
289,enoch,37.7733,-113.0244,5.26,93,0,0.0,US,1715328857
290,beatrice,40.2681,-96.747,12.37,87,0,0.0,US,1715328858
291,yuzhno-kurilsk,44.0306,145.8556,11.88,64,27,2.32,RU,1715328859
292,mar del plata,-38.0023,-57.5575,10.49,67,0,2.57,AR,1715328860
293,badger,64.8,-147.5333,6.95,81,100,2.06,US,1715328860
294,reuleuet,5.2167,96.2833,29.75,77,85,1.39,ID,1715328861
295,afonso bezerra,-5.4983,-36.5056,23.96,76,94,2.8,BR,1715328862
296,trzebiatow,54.0615,15.2648,14.47,87,93,4.17,PL,1715328863
297,novyy urengoy,66.0833,76.6333,0.51,100,100,8.26,RU,1715328682
298,al bawiti,28.3492,28.8659,31.19,17,53,4.68,EG,1715328864
299,edson,53.5835,-116.4356,6.08,65,0,1.03,CA,1715328865
300,waycross,31.2136,-82.354,21.14,95,40,2.57,US,1715328865
301,benjamin constant,-4.3831,-70.0311,25.07,99,74,0.8,BR,1715328866
302,hadibu,12.65,54.0333,30.83,64,58,2.26,YE,1715328868
303,kitimat,54.0524,-128.6534,13.84,75,18,1.79,CA,1715328869
304,tadine,-21.55,167.8833,21.88,73,0,6.53,NC,1715328870
305,ancud,-41.8697,-73.8203,7.02,84,23,0.64,CL,1715328871
306,san antonio oeste,-40.7319,-64.9477,10.13,53,6,4.03,AR,1715328871
307,rasht,37.2808,49.5832,22.9,56,40,2.06,IR,1715328873
